"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"228";0,95;50;100;2;1;0,51842;0,5154;0,55407;0,5637
"229";0,95;50;100;2;0,1;0,88185;0,88118;0,77314;0,77107
"230";0,95;50;100;2;0,5;0,58575;0,58387;0,58022;0,54761
"231";0,95;50;100;2;0,25;0,73364;0,73258;0,6334;0,61706
"232";0,95;50;100;3;10;0,25857;0,25708;0,41931;0,42159
"233";0,95;50;100;3;4;0,29575;0,29272;0,4231;0,43691
"234";0,95;50;100;3;2;0,3717;0,36859;0,43057;0,46605
"235";0,95;50;100;3;1;0,43007;0,42724;0,46171;0,48225
"236";0,95;50;100;3;0,1;0,83303;0,83208;0,7052;0,70292
"237";0,95;50;100;3;0,5;0,48204;0,47998;0,48653;0,46091
"238";0,95;50;100;3;0,25;0,62296;0,62202;0,54035;0,52447
"239";0,95;50;100;4;10;0,24272;0,24077;0,39721;0,39944
"240";0,95;50;100;4;4;0,27216;0,26889;0,39848;0,41113
"241";0,95;50;100;4;2;0,34317;0,34095;0,40571;0,43911
"242";0,95;50;100;4;1;0,3927;0,39028;0,42374;0,44691
"243";0,95;50;100;4;0,1;0,77557;0,77484;0,64345;0,64078
"244";0,95;50;100;4;0,5;0,41982;0,41795;0,43456;0,41419
"245";0,95;50;100;4;0,25;0,53881;0,53751;0,47541;0,45803
"246";0,95;50;20;0;10;0,9553;0,9553;0,88595;0,88595
"247";0,95;50;20;0;4;0,95683;0,95683;0,9142;0,9142
"248";0,95;50;20;0;2;0,96008;0,96008;0,95794;0,95794
"249";0,95;50;20;0;1;0,95724;0,95724;0,93456;0,93456
"250";0,95;50;20;0;0,1;0,7001;0,7001;0,83599;0,83599
"251";0,95;50;20;0;0,5;0,8459;0,8459;0,86671;0,86671
"252";0,95;50;20;0;0,25;0,73986;0,73986;0,83943;0,83943
"253";0,95;50;20;1;10;0,80384;0,79554;0,68987;0,68095
"254";0,95;50;20;1;4;0,8138;0,80648;0,71534;0,70982
"255";0,95;50;20;1;2;0,81301;0,80642;0,67171;0,72542
"256";0,95;50;20;1;1;0,73561;0,73214;0,59872;0,67744
"257";0,95;50;20;1;0,1;0,61823;0,61815;0,78248;0,7831
"258";0,95;50;20;1;0,5;0,61233;0,6109;0,63944;0,6727
"259";0,95;50;20;1;0,25;0,57314;0,57309;0,72232;0,72875
"260";0,95;50;20;2;10;0,52431;0,51773;0,4819;0,47452
"261";0,95;50;20;2;4;0,53993;0,53273;0,50913;0,49381
"262";0,95;50;20;2;2;0,56374;0,55752;0,50608;0,53288
"263";0,95;50;20;2;1;0,5563;0,55147;0,47284;0,54652
"264";0,95;50;20;2;0,1;0,5507;0,55062;0,74104;0,74216
"265";0,95;50;20;2;0,5;0,47939;0,4767;0,5019;0,54242
"266";0,95;50;20;2;0,25;0,46076;0,45996;0,61599;0,62667
"267";0,95;50;20;3;10;0,42648;0,42011;0,42609;0,41966
"268";0,95;50;20;3;4;0,43533;0,42929;0,44503;0,42769
"269";0,95;50;20;3;2;0,45707;0,45115;0,44767;0,46688
"270";0,95;50;20;3;1;0,47019;0,46585;0,42414;0,49217
"271";0,95;50;20;3;0,1;0,48897;0,48907;0,69296;0,69441
"272";0,95;50;20;3;0,5;0,40906;0,40612;0,44016;0,48222
"273";0,95;50;20;3;0,25;0,39254;0,39157;0,53564;0,54805
"274";0,95;50;20;4;10;0,38094;0,37633;0,40082;0,39491
"275";0,95;50;20;4;4;0,38765;0,38195;0,41504;0,39834
"276";0,95;50;20;4;2;0,4111;0,40557;0,4283;0,44108
"277";0,95;50;20;4;1;0,42308;0,41675;0,40497;0,46597
"278";0,95;50;20;4;0,1;0,44268;0,44298;0,65008;0,65175
