"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"275";0,95;20;20;4;4;0,6885;0,67299;0,8047;0,8047
"276";0,95;20;20;4;2;0,75193;0,73655;0,80378;0,80378
"277";0,95;20;20;4;1;0,81453;0,80228;0,8281;0,8281
"278";0,95;20;20;4;0,1;0,92518;0,92359;0,93943;0,93943
"279";0,95;20;20;4;0,5;0,82344;0,81264;0,85376;0,85376
"280";0,95;20;20;4;0,25;0,86252;0,85711;0,89374;0,89374
"281";0,95;20;50;0;10;0,7737;0,7737;0,95311;0,95311
"282";0,95;20;50;0;4;0,80441;0,80441;0,95378;0,95378
"283";0,95;20;50;0;2;0,86998;0,86998;0,95304;0,95304
"284";0,95;20;50;0;1;0,95008;0,95008;0,952;0,952
"285";0,95;20;50;0;0,1;0,99764;0,99764;0,953;0,953
"286";0,95;20;50;0;0,5;0,98873;0,98873;0,95169;0,95169
"287";0,95;20;50;0;0,25;0,99611;0,99611;0,95187;0,95187
"288";0,95;20;50;1;10;0,65879;0,65516;0,89347;0,89497
"289";0,95;20;50;1;4;0,71329;0,70969;0,8931;0,90118
"290";0,95;20;50;1;2;0,81862;0,81619;0,89698;0,91498
"291";0,95;20;50;1;1;0,92241;0,92175;0,91376;0,92814
"292";0,95;20;50;1;0,1;0,99786;0,99788;0,9513;0,95124
"293";0,95;20;50;1;0,5;0,97955;0,9791;0,93591;0,93613
"294";0,95;20;50;1;0,25;0,99453;0,99444;0,94417;0,94279
"295";0,95;20;50;2;10;0,5661;0,55978;0,84098;0,8435
"296";0,95;20;50;2;4;0,62625;0,6189;0,83726;0,85178
"297";0,95;20;50;2;2;0,75266;0,74631;0,83839;0,87397
"298";0,95;20;50;2;1;0,86878;0,86539;0,85653;0,89388
"299";0,95;20;50;2;0,1;0,99672;0,99666;0,94746;0,94716
"300";0,95;20;50;2;0,5;0,95183;0,95001;0,90276;0,90261
"301";0,95;20;50;2;0,25;0,98786;0,98731;0,92794;0,92453
"302";0,95;20;50;3;10;0,53082;0,52282;0,81829;0,82127
"303";0,95;20;50;3;4;0,59094;0,58192;0,81698;0,83306
"304";0,95;20;50;3;2;0,71736;0,70895;0,81148;0,85511
"305";0,95;20;50;3;1;0,82561;0,81966;0,82074;0,87214
