"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"236";0,95;50;100;3;0,1;0,98578;0,98519;0,94873;0,94865
"237";0,95;50;100;3;0,5;0,96366;0,95986;0,95158;0,94913
"238";0,95;50;100;3;0,25;0,97823;0,97669;0,95087;0,9491
"239";0,95;50;100;4;10;0,8381;0,82577;0,95303;0,95399
"240";0,95;50;100;4;4;0,86229;0,84787;0,9518;0,9566
"241";0,95;50;100;4;2;0,91355;0,90318;0,94923;0,96302
"242";0,95;50;100;4;1;0,95184;0,94443;0,94708;0,96544
"243";0,95;50;100;4;0,1;0,98595;0,98538;0,95116;0,95098
"244";0,95;50;100;4;0,5;0,95912;0,95421;0,95214;0,94927
"245";0,95;50;100;4;0,25;0,973;0,97064;0,94943;0,9465
"246";0,95;50;20;0;10;0,99399;0,99399;0,9495;0,9495
"247";0,95;50;20;0;4;0,9919;0,9919;0,94992;0,94992
"248";0,95;50;20;0;2;0,98409;0,98409;0,95048;0,95048
"249";0,95;50;20;0;1;0,95015;0,95015;0,95014;0,95014
"250";0,95;50;20;0;0,1;0,84987;0,84987;0,95023;0,95023
"251";0,95;50;20;0;0,5;0,8936;0,8936;0,94831;0,94831
"252";0,95;50;20;0;0,25;0,86046;0,86046;0,94971;0,94971
"253";0,95;50;20;1;10;0,98296;0,98011;0,9509;0,94981
"254";0,95;50;20;1;4;0,98122;0,97873;0,95138;0,94833
"255";0,95;50;20;1;2;0,97631;0,97301;0,95408;0,95525
"256";0,95;50;20;1;1;0,95215;0,94756;0,95077;0,95918
"257";0,95;50;20;1;0,1;0,8475;0,84647;0,95035;0,95041
"258";0,95;50;20;1;0,5;0,89745;0,8926;0,95037;0,95337
"259";0,95;50;20;1;0,25;0,85974;0,85687;0,94998;0,95047
"260";0,95;50;20;2;10;0,96275;0,95614;0,95149;0,94966
"261";0,95;50;20;2;4;0,96438;0,95736;0,95256;0,94497
"262";0,95;50;20;2;2;0,9643;0,95742;0,95488;0,95617
"263";0,95;50;20;2;1;0,95193;0,94435;0,94855;0,96585
"264";0,95;50;20;2;0,1;0,84513;0,84275;0,95058;0,95064
"265";0,95;50;20;2;0,5;0,90136;0,89269;0,95097;0,95781
"266";0,95;50;20;2;0,25;0,85871;0,85321;0,95144;0,95249
"267";0,95;50;20;3;10;0,94964;0,93879;0,95262;0,95017
"268";0,95;50;20;3;4;0,95332;0,94282;0,95454;0,94499
"269";0,95;50;20;3;2;0,95691;0,94745;0,95668;0,9588
"270";0,95;50;20;3;1;0,95424;0,94529;0,94771;0,97118
"271";0,95;50;20;3;0,1;0,84495;0,84146;0,95053;0,95061
"272";0,95;50;20;3;0,5;0,90444;0,89296;0,9514;0,96188
"273";0,95;50;20;3;0,25;0,85771;0,84971;0,95321;0,95526
"274";0,95;50;20;4;10;0,94124;0,92832;0,95296;0,9505
"275";0,95;50;20;4;4;0,94481;0,93197;0,95397;0,94328
"276";0,95;50;20;4;2;0,95317;0,94158;0,95756;0,96083
"277";0,95;50;20;4;1;0,95322;0,94201;0,94689;0,97301
"278";0,95;50;20;4;0,1;0,84259;0,83781;0,95183;0,95196
"279";0,95;50;20;4;0,5;0,9072;0,89451;0,95096;0,96443
"280";0,95;50;20;4;0,25;0,85678;0,84703;0,95423;0,95698
"281";0,95;50;50;0;10;0,94903;0,94903;0,95044;0,95044
"282";0,95;50;50;0;4;0,94951;0,94951;0,9507;0,9507
"283";0,95;50;50;0;2;0,9495;0,9495;0,95013;0,95013
"284";0,95;50;50;0;1;0,95066;0,95066;0,95067;0,95067
"285";0,95;50;50;0;0,1;0,94847;0,94847;0,95001;0,95001
"286";0,95;50;50;0;0,5;0,94757;0,94757;0,94814;0,94814
"287";0,95;50;50;0;0,25;0,94888;0,94888;0,95017;0,95017
"288";0,95;50;50;1;10;0,92804;0,92196;0,95178;0,95178
"289";0,95;50;50;1;4;0,93214;0,92605;0,95099;0,95099
"290";0,95;50;50;1;2;0,94184;0,93656;0,94883;0,94883
"291";0,95;50;50;1;1;0,95128;0,94735;0,95148;0,95148
"292";0,95;50;50;1;0,1;0,94721;0,94653;0,94992;0,94992
"293";0,95;50;50;1;0,5;0,94709;0,94453;0,95053;0,95053
"294";0,95;50;50;1;0,25;0,94651;0,94503;0,95048;0,95048
"295";0,95;50;50;2;10;0,90686;0,89665;0,95267;0,95267
"296";0,95;50;50;2;4;0,91762;0,90705;0,95227;0,95227
"297";0,95;50;50;2;2;0,93667;0,92783;0,95052;0,95052
"298";0,95;50;50;2;1;0,95235;0,94557;0,95321;0,95321
"299";0,95;50;50;2;0,1;0,94673;0,94544;0,95083;0,95083
"300";0,95;50;50;2;0,5;0,94456;0,93923;0,95139;0,95139
"301";0,95;50;50;2;0,25;0,94103;0,93801;0,94972;0,94972
"302";0,95;50;50;3;10;0,89502;0,88221;0,95282;0,95282
"303";0,95;50;50;3;4;0,90718;0,89445;0,95161;0,95161
"304";0,95;50;50;3;2;0,93159;0,92121;0,94965;0,94965
"305";0,95;50;50;3;1;0,95358;0,9451;0,95455;0,95455
"306";0,95;50;50;3;0,1;0,94308;0,9413;0,94953;0,94953
"307";0,95;50;50;3;0,5;0,93862;0,93149;0,94981;0,94981
"308";0,95;50;50;3;0,25;0,93808;0,93352;0,95107;0,95107
"309";0,95;50;50;4;10;0,89154;0,8776;0,9529;0,9529
"310";0,95;50;50;4;4;0,90085;0,88661;0,94974;0,94974
"311";0,95;50;50;4;2;0,93114;0,91904;0,95026;0,95026
"312";0,95;50;50;4;1;0,9519;0,94265;0,9532;0,9532
"313";0,95;50;50;4;0,1;0,94038;0,93773;0,94884;0,94884
"314";0,95;50;50;4;0,5;0,93779;0,92861;0,95147;0,95147
"315";0,95;50;50;4;0,25;0,93287;0,92751;0,95127;0,95127
