"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"217";0,95;50;100;0;0,25;0,99134;0,99134;0,94989;0,94989
"218";0,95;50;100;1;10;0,81703;0,81682;0,95303;0,95338
"219";0,95;50;100;1;4;0,84088;0,84097;0,95245;0,95442
"220";0,95;50;100;1;2;0,89174;0,89144;0,95082;0,95566
"221";0,95;50;100;1;1;0,95067;0,9506;0,95065;0,95431
"222";0,95;50;100;1;0,1;0,99298;0,99297;0,94928;0,94923
"223";0,95;50;100;1;0,5;0,98117;0,98114;0,94955;0,94908
"224";0,95;50;100;1;0,25;0,99086;0,99085;0,94928;0,94908
"225";0,95;50;100;2;10;0,7928;0,79275;0,9532;0,95395
"226";0,95;50;100;2;4;0,82614;0,82653;0,95482;0,95867
"227";0,95;50;100;2;2;0,89564;0,89603;0,95255;0,96267
"228";0,95;50;100;2;1;0,951;0,95117;0,95189;0,96249
"229";0,95;50;100;2;0,1;0,99309;0,99306;0,94975;0,94973
"230";0,95;50;100;2;0,5;0,97706;0,97688;0,95072;0,94931
"231";0,95;50;100;2;0,25;0,9891;0,98914;0,94985;0,94917
"232";0,95;50;100;3;10;0,78197;0,78159;0,95518;0,95597
"233";0,95;50;100;3;4;0,82014;0,8201;0,95477;0,96009
"234";0,95;50;100;3;2;0,8969;0,89691;0,9529;0,96664
"235";0,95;50;100;3;1;0,95192;0,95221;0,95278;0,9679
"236";0,95;50;100;3;0,1;0,99273;0,99266;0,95055;0,95049
"237";0,95;50;100;3;0,5;0,97188;0,97185;0,95284;0,94943
"238";0,95;50;100;3;0,25;0,98693;0,98675;0,95003;0,94818
"239";0,95;50;100;4;10;0,77411;0,77456;0,9565;0,95756
"240";0,95;50;100;4;4;0,81583;0,81428;0,95377;0,95965
"241";0,95;50;100;4;2;0,89939;0,89913;0,95449;0,96945
"242";0,95;50;100;4;1;0,95332;0,95365;0,95303;0,97209
"243";0,95;50;100;4;0,1;0,99204;0,99185;0,95044;0,95029
"244";0,95;50;100;4;0,5;0,9654;0,96492;0,95326;0,94844
"245";0,95;50;100;4;0,25;0,9842;0,98399;0,95144;0,94846
"246";0,95;50;20;0;10;0,99732;0,99732;0,94997;0,94997
"247";0,95;50;20;0;4;0,99552;0,99552;0,95031;0,95031
"248";0,95;50;20;0;2;0,98797;0,98797;0,94909;0,94909
"249";0,95;50;20;0;1;0,94825;0,94825;0,94862;0,94862
"250";0,95;50;20;0;0,1;0,78065;0,78065;0,94929;0,94929
"251";0,95;50;20;0;0,5;0,86588;0,86588;0,94947;0,94947
"252";0,95;50;20;0;0,25;0,80352;0,80352;0,95001;0,95001
"253";0,95;50;20;1;10;0,99208;0,99143;0,95252;0,95135
"254";0,95;50;20;1;4;0,99053;0,98993;0,95187;0,94784
"255";0,95;50;20;1;2;0,98399;0,98351;0,95196;0,95196
"256";0,95;50;20;1;1;0,9508;0,95065;0,95065;0,9557
"257";0,95;50;20;1;0,1;0,77914;0,77925;0,94921;0,9492
"258";0,95;50;20;1;0,5;0,86737;0,86752;0,94947;0,95142
"259";0,95;50;20;1;0,25;0,80191;0,80201;0,94939;0,94963
"260";0,95;50;20;2;10;0,97685;0,97529;0,95383;0,95166
"261";0,95;50;20;2;4;0,97625;0,97447;0,95328;0,94483
"262";0,95;50;20;2;2;0,97437;0,97341;0,95505;0,95454
"263";0,95;50;20;2;1;0,95288;0,95277;0,9527;0,96789
"264";0,95;50;20;2;0,1;0,78012;0,77989;0,94998;0,94999
"265";0,95;50;20;2;0,5;0,87324;0,87338;0,95191;0,95751
"266";0,95;50;20;2;0,25;0,80587;0,80599;0,95092;0,95171
"267";0,95;50;20;3;10;0,9602;0,95859;0,95596;0,95301
"268";0,95;50;20;3;4;0,96125;0,95896;0,95571;0,94414
"269";0,95;50;20;3;2;0,96385;0,96263;0,95839;0,95818
"270";0,95;50;20;3;1;0,95444;0,95419;0,95344;0,97529
"271";0,95;50;20;3;0,1;0,77739;0,77708;0,95088;0,95101
"272";0,95;50;20;3;0,5;0,88242;0,88373;0,95562;0,96504
"273";0,95;50;20;3;0,25;0,80432;0,80484;0,95226;0,95353
"274";0,95;50;20;4;10;0,94604;0,94441;0,95464;0,95172
"275";0,95;50;20;4;4;0,94897;0,94771;0,95537;0,94377
"276";0,95;50;20;4;2;0,95638;0,95516;0,96066;0,95968
"277";0,95;50;20;4;1;0,95583;0,95578;0,95565;0,98028
"278";0,95;50;20;4;0,1;0,77593;0,77608;0,95045;0,9505
"279";0,95;50;20;4;0,5;0,88678;0,88704;0,95481;0,96794
"280";0,95;50;20;4;0,25;0,805;0,80453;0,954;0,95626
"281";0,95;50;50;0;10;0,94683;0,94683;0,94953;0,94953
"282";0,95;50;50;0;4;0,94868;0,94868;0,95111;0,95111
"283";0,95;50;50;0;2;0,94835;0,94835;0,94943;0,94943
"284";0,95;50;50;0;1;0,95083;0,95083;0,95089;0,95089
"285";0,95;50;50;0;0,1;0,94732;0,94732;0,94989;0,94989
"286";0,95;50;50;0;0,5;0,9483;0,9483;0,94915;0,94915
"287";0,95;50;50;0;0,25;0,9472;0,9472;0,94915;0,94915
"288";0,95;50;50;1;10;0,9281;0,92811;0,9515;0,9515
"289";0,95;50;50;1;4;0,93305;0,9327;0,95091;0,95091
"290";0,95;50;50;1;2;0,94404;0,94407;0,95061;0,95061
"291";0,95;50;50;1;1;0,95016;0,95009;0,95045;0,95045
"292";0,95;50;50;1;0,1;0,94716;0,94709;0,94984;0,94984
"293";0,95;50;50;1;0,5;0,94832;0,94802;0,95076;0,95076
"294";0,95;50;50;1;0,25;0,9467;0,94662;0,94994;0,94994
"295";0,95;50;50;2;10;0,89872;0,89829;0,95355;0,95355
"296";0,95;50;50;2;4;0,90995;0,91001;0,95257;0,95257
"297";0,95;50;50;2;2;0,93634;0,93609;0,95293;0,95293
"298";0,95;50;50;2;1;0,95164;0,95183;0,95238;0,95238
"299";0,95;50;50;2;0,1;0,94768;0,94761;0,95125;0,95125
"300";0,95;50;50;2;0,5;0,94486;0,94485;0,9517;0,9517
"301";0,95;50;50;2;0,25;0,94415;0,94392;0,95059;0,95059
"302";0,95;50;50;3;10;0,87926;0,87866;0,95434;0,95434
"303";0,95;50;50;3;4;0,89544;0,89499;0,95428;0,95428
"304";0,95;50;50;3;2;0,92831;0,92756;0,95332;0,95332
"305";0,95;50;50;3;1;0,95404;0,95403;0,9553;0,9553
"306";0,95;50;50;3;0,1;0,94558;0,94541;0,95069;0,95069
"307";0,95;50;50;3;0,5;0,93965;0,93973;0,95091;0,95091
"308";0,95;50;50;3;0,25;0,9396;0,93906;0,95043;0,95043
"309";0,95;50;50;4;10;0,87034;0,86976;0,95564;0,95564
"310";0,95;50;50;4;4;0,88765;0,8878;0,95517;0,95517
"311";0,95;50;50;4;2;0,92506;0,9248;0,95448;0,95448
"312";0,95;50;50;4;1;0,95348;0,9534;0,95489;0,95489
"313";0,95;50;50;4;0,1;0,94352;0,94346;0,95037;0,95037
"314";0,95;50;50;4;0,5;0,93554;0,93489;0,95249;0,95249
"315";0,95;50;50;4;0,25;0,93327;0,93277;0,95083;0,95083
