"n1";"n2";"m1";"m2";"var1";"var2";"skew";"kurt";"Average_m1";"Stdev_m1";"Average_m2";"Stdev_m2";"Average_var1";"Stdev_var1";"Average_var2";"Stdev_var2";"Average_skew1";"Stdev_skew1";"Average_skew2";"Stdev_skew2";"Average_kurt1";"Stdev_kurt1";"Average_kurt2";"Stdev_kurt2"
"57";100;20;3;0;1;0,01;6,32;95,75;3,00033956946906;0,10043504505724;5,02844822760007e-05;0,0224398042259715;1,00020021141767;0,906256894081202;0,010026009922558;0,0192971790941647;18,6050308605811;14,1826090486597;6,73893728873998;5,11777167978047;3,75404488365856;1,27254186021655;2,46276490600467;0,839275254467794
"58";100;20;3;0;1;0,0625;6,32;95,75;2,99973529869066;0,0998064063457887;-0,000210165875611904;0,0556914567713743;0,999907834831384;0,938245719813441;0,0621168346604781;0,122859553655919;18,6290065744884;14,2278518754571;6,74112461115785;5,1152147018626;3,75593323361971;1,27599155919087;2,46317643439936;0,838400998267159
"59";100;20;3;0;1;0,25;6,32;95,75;3,0003331965231;0,0998016636848824;0,000396832685597454;0,111663748037804;1,00113711294629;0,941426050324955;0,249628612742169;0,446221306029924;18,6430465617407;14,1307251423524;6,7636303338426;5,13298625812665;3,75923206909658;1,26754380915788;2,46593754202527;0,841609139856785
"60";100;20;3;0;1;1;6,32;95,75;3,00012803714411;0,100347239869624;-0,000382453962540744;0,224061625747733;1,00208135780656;0,937629501745883;0,999353564124248;1,92871936220489;18,6229011706375;14,2460330747125;6,76029829049496;5,13251792310729;3,75612273013587;1,27718474083579;2,46618964946287;0,841012117881176
"61";100;20;3;0;1;100;6,32;95,75;2,99950931714693;0,0996040437153328;0,000261543914873721;2,24050292092075;0,993100285799345;0,927818269438763;100,184637640972;197,453467564702;18,579078832601;14,1211097020239;6,75845098450861;5,1219109933737;3,75182171477431;1,26777081260062;2,46590788470776;0,83982101307818
"62";100;20;3;0;1;4;6,32;95,75;3,00018800811967;0,0997610794811014;0,000592115431647405;0,447168338927033;1,00046903342172;0,937030654851632;4,005482338253;7,74244705983112;18,5920930356289;14,1624891842704;6,75093038418226;5,10991500313567;3,75369868294824;1,26935831917;2,46521606603824;0,837756661019965
"63";100;20;3;0;1;16;6,32;95,75;2,99984345247243;0,100021536990344;-0,000963021280457597;0,896416809694782;0,997444841676163;0,918371864261191;16,0429437616317;33,8618007126195;18,6050488744945;14,1674101347421;6,77963626663404;5,14204070447394;3,75457684947217;1,27157568509049;2,46889229669313;0,842141533046693
"64";100;20;4;0;1;0,01;6,32;95,75;3,99974787057965;0,10023065719542;2,40925031159679e-05;0,0223868740820478;1,001545264324;1,12586288422389;0,010060629612181;0,0195661982694583;18,5940343741145;14,155031481296;6,7791154249919;5,14277382741149;3,75474613593206;1,2692190239889;2,4690290129128;0,842814316606735
"65";100;20;4;0;1;0,0625;6,32;95,75;4,00005294103715;0,0999325612993173;-0,000137801053338838;0,0558411797790228;1,00313647854249;1,0292795679077;0,0622720329076446;0,1095293549338;18,6185503391821;14,1960007598225;6,77184342720452;5,12934212891213;3,75581610893664;1,27279780434364;2,46795055212757;0,841085063609176
"66";100;20;4;0;1;0,25;6,32;95,75;3,99996499909512;0,100227963609121;0,000418974025199545;0,112342345377244;1,00171286817584;1,09847629753688;0,251632503463317;0,54086007226828;18,5883337790407;14,1494707159901;6,76768002060062;5,12735629728387;3,7532399896857;1,26988184661652;2,4673127536233;0,840054071672759
